Timestamp,username,age,gender,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,points,time_taken,tiredness,sport_freq
07/03/2024 16:17,FAUZ,21,female,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,8,226.1187663,7,Never
07/03/2024 17:38,1145,21,male,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,10,232.1817141,2,Frequent
07/03/2024 17:48,LHNB,20,male,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,11,219.7033284,6,Frequent
07/03/2024 18:10,sdll,21,female,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,10,242.4176142,5,Often
07/03/2024 22:15,fftc,22,female,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,14,222.2224929,4,Never
08/03/2024 13:17,HYZY,21,male,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,9,244.4884398,5,Sometimes
08/03/2024 15:07,kbba,21,male,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,212.3206234,5,Sometimes
08/03/2024 16:18,HWSY,19,female,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,6,240.3743649,5,Never
08/03/2024 16:27,FZFZ,21,male,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,6,246.4802144,7,Sometimes
08/03/2024 16:32,ISAC,21,male,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,195.5593753,5,Never
08/03/2024 17:57,IQAH,21,female,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,12,236.98157,8,Sometimes
08/03/2024 18:14,MLAW,21,male,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,13,235.2307777,5,Sometimes
08/03/2024 21:53,XHSB,20,male,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,9,204.0854733,7,Never
08/03/2024 22:31,baby,22,female,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,11,240.8772032,8,Never
08/03/2024 23:06,HZKM,21,female,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,12,213.2959654,4,Sometimes
09/03/2024 13:28,ynbt,20,female,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,10,244.9625249,4,Never
09/03/2024 13:51,xxxx,20,female,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,12,218.5309582,7,Sometimes
09/03/2024 14:23,MENG,20,male,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,7,214.7411263,4,Often
09/03/2024 18:51,Daus,22,male,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,14,221.5996487,5,Sometimes
09/03/2024 19:52,PTTR,21,male,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,11,264.3987753,1,Often
09/03/2024 22:31,XOXO,20,male,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,13,229.0045438,6,Sometimes
10/03/2024 00:15,CTCT,22,female,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,8,193.4956663,8,Sometimes
10/03/2024 18:15,azmt,26,male,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,12,241.4742868,5,Often
10/03/2024 18:22,Syaf,21,male,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,12,195.0336707,5,Sometimes
10/03/2024 18:38,ucbm,26,male,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,14,213.5288956,5,Often
11/03/2024 19:31,KWAN,21,male,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,13,219.3140092,6,Never
11/03/2024 22:45,HHMM,21,male,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,12,206.202101,5,Sometimes
13/03/2024 13:59,SOAS,20,female,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,8,235.2667754,4,Never
13/03/2024 17:57,RZWM,20,female,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,7,228.509203,4,Often
14/03/2024 01:15,ZXCV,20,male,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,16,247.9038258,7,Frequent
14/03/2024 01:53,BBBB,19,male,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,18,185.5551062,5,Never
14/03/2024 02:22,RLLY,20,female,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,15,200.7091267,4,Often
14/03/2024 02:38,HBDJ,21,female,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,18,187.1655731,6,Sometimes
